,description,writer,cover artist,penciler,comic_name,issue_title,publish_date,Price
0,,Chip Zdarsky,PEACH MOMOKO,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #6 (Variant),2022-12-07T00:00:00-0500,3.99
1,,Chip Zdarsky,,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #6 (Variant),2022-12-07T00:00:00-0500,3.99
2,,Chip Zdarsky,Matthew Wilson,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #6,2022-12-07T00:00:00-0500,3.99
3,,Chip Zdarsky,Sebastian Cheng,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #5 (Variant),2022-11-23T00:00:00-0500,3.99
4,,Chip Zdarsky,Matthew Wilson,Vc Clayton Cowles,Daredevil (2022 - Present),Daredevil (2022) #5,2022-11-23T00:00:00-0500,3.99
5,,Chip Zdarsky,,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #5 (Variant),2022-11-23T00:00:00-0500,3.99
6,,Chip Zdarsky,,Francesco Mobili,Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 3 (2022),Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 3 (Trade Paperback),2022-11-02T00:00:00-0400,44.99
7,"Collects Daredevil (1964) #234-252. Daredevil takes on all comers! The Man Without Fear faces the maniac without pain: the irrepressible Madcap! But that's just a warmup for DD's rematch with one of his most powerful foes: Mister Hyde! And the hits just keep coming as Klaw, Master of Sound, makes some noise, Chance tries his luck and the savage Sabretooth crosses Daredevil's path right in the middle of the Mutant Massacre! Plus: DD's old flame, the Black Widow, returns - but will Matt seize a second chance at life with Karen Page instead? Meanwhile, Hell's Kitchen has more than its fair share of crime to fight - but why is Daredevil trading blows with Black Panther and Wolverine? And can a billy club stand up to adamantium claws?",Ann Nocenti,,Keith Pollard,Daredevil Epic Collection: It Comes With The Claws (2022),Daredevil Epic Collection: It Comes With The Claws (Trade Paperback),2022-11-02T00:00:00-0400,44.99
8,,Chip Zdarsky,Marcio Menyz,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #4 (Variant),2022-10-12T00:00:00-0400,3.99
9,,Chip Zdarsky,Matthew Wilson,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #4,2022-10-12T00:00:00-0400,3.99
10,,Chip Zdarsky,Matthew Wilson,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #3,2022-09-14T00:00:00-0400,3.99
11,,Chip Zdarsky,Peter M. Woods,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #2 (Variant),2022-08-17T00:00:00-0400,5.99
12,,Chip Zdarsky,,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #2 (Variant),2022-08-17T00:00:00-0400,5.99
13,,Chip Zdarsky,Brad Anderson,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #2 (Variant),2022-08-17T00:00:00-0400,5.99
14,,Chip Zdarsky,Matthew Wilson,John Romita Jr.,Daredevil (2022 - Present),Daredevil (2022) #2,2022-08-17T00:00:00-0400,5.99
15,,Chip Zdarsky,,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (Trade Paperback),2022-07-27T00:00:00-0400,15.99
16,,Chip Zdarsky,,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
17,,Chip Zdarsky,Marcio Menyz,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #1,2022-07-13T00:00:00-0400,4.99
18,,Chip Zdarsky,,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
19,,Chip Zdarsky,Dan Panosian,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
20,,Chip Zdarsky,,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
21,"AN ALL-NEW ERA OF DAREDEVIL STARTS HERE! After the shocking events of DEVIL'S REIGN, what is left of DAREDEVIL? Who lived, who died, and who is left to pick up the pieces? CHIP ZDARSKY and his superstar collaborator MARCO CHECCHETTO turn their gaze to a future full of peril and pain, in this - the explosive beginning of an all new era for Hell's Kitchen's guardian devil, and the most important DAREDEVIL issue of the year (until next month.)!",Chip Zdarsky,PEACH MOMOKO,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
22,,Chip Zdarsky,Jorge Fornes,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
23,,Chip Zdarsky,,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
24,,Chip Zdarsky,,Rafael De Latorre,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
25,,Chip Zdarsky,Marte Gracia,Marco Checchetto,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13T00:00:00-0400,4.99
26,,Ed Brubaker,,John Romita Sr.,Daredevil By Brubaker & Lark Omnibus Vol. 1 (2022),Daredevil By Brubaker & Lark Omnibus Vol. 1 (Trade Paperback),2022-06-08T00:00:00-0400,100.0
27,,Chip Zdarsky,,Francesco Mobili,Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 2 (2021),Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 2 (Trade Paperback),2022-03-23T00:00:00-0400,39.99
28,,Chip Zdarsky,Chris Bachalo,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #3,2022-03-02T00:00:00-0500,3.99
29,,Chip Zdarsky,Carmen Carnero,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #3 (Variant),2022-03-02T00:00:00-0500,3.99
30,,Gregory Wright,,Rick Leonardi,Daredevil Epic Collection: Heart of Darkness (2022),Daredevil Epic Collection: Heart of Darkness (Trade Paperback),2022-02-09T00:00:00-0500,44.99
31,,Chip Zdarsky,Jorge Fornes,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2 (Variant),2022-02-02T00:00:00-0500,3.99
32,,Chip Zdarsky,,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2 (Variant),2022-02-02T00:00:00-0500,3.99
33,,Chip Zdarsky,Chris Bachalo,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2,2022-02-02T00:00:00-0500,3.99
34,,Jim Starlin,,Syd Shores,Daredevil Epic Collection: Going Out West (2022),Daredevil Epic Collection: Going Out West (Trade Paperback),2022-01-26T00:00:00-0500,44.99
35,,Chip Zdarsky,Alex Sinclair,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12T00:00:00-0500,4.99
36,,Chip Zdarsky,Chris Bachalo,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1,2022-01-12T00:00:00-0500,4.99
37,,Chip Zdarsky,John Romita Jr.,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12T00:00:00-0500,4.99
38,,Chip Zdarsky,,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12T00:00:00-0500,4.99
39,,Chip Zdarsky,,Stefano Landini,Daredevil by Chip Zdarsky Vol. 7: Lockdown (2022),Daredevil by Chip Zdarsky Vol. 7: Lockdown (Trade Paperback),2022-01-12T00:00:00-0500,17.99
40,,Chip Zdarsky,Rachelle Rosenberg,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12T00:00:00-0500,4.99
41,,Chip Zdarsky,,Rafael De Latorre,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12T00:00:00-0500,4.99
42,,Fabian Nicieza,,John Hebert,Daredevil Epic Collection: Dead Man's Hand (2021),Daredevil Epic Collection: Dead Man's Hand (Trade Paperback),2021-12-29T00:00:00-0500,44.99
