,description,writer,penciler,comic_name,issue_title,publish_date,Price,cover artist
0,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2022),Hawkeye: Kate Bishop (Trade Paperback),2022-05-11T00:00:00-0400,15.99,
1,,Kelly Thompson,Moy R,Hawkeye: Kate Bishop - Team Spirit (2022),Hawkeye: Kate Bishop - Team Spirit (Trade Paperback),2022-03-16T00:00:00-0400,13.99,
2,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #5,2022-03-09T00:00:00-0500,3.99,Jahnoy Lindsay
3,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #5 (Variant),2022-03-09T00:00:00-0500,3.99,Edgar Delgado
4,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #4 (Variant),2022-02-09T00:00:00-0500,3.99,Carmen Carnero
5,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #4,2022-02-09T00:00:00-0500,3.99,Jahnoy Lindsay
6,,,,Hawkeye Epic Collection: The Avenging Archer (2022),Hawkeye Epic Collection: The Avenging Archer (Trade Paperback),2022-01-19T00:00:00-0500,39.99,
7,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #3,2022-01-12T00:00:00-0500,3.99,Jahnoy Lindsay
8,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #3 (Variant),2022-01-12T00:00:00-0500,3.99,
9,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #2 (Variant),2021-12-22T00:00:00-0500,3.99,
10,,Matt Fraction,,Hawkeye: My Life as a Weapon Infinity Comic (2021 - 2022),Hawkeye: My Life as a Weapon Infinity Comic (2021) #4,2021-12-22T00:00:00-0500,0.0,
11,,Marieke Nijkamp,Enid Balam,Hawkeye: Kate Bishop (2021 - 2022),Hawkeye: Kate Bishop (2021) #2,2021-12-22T00:00:00-0500,3.99,Jahnoy Lindsay
12,"The Infinity Comics edition of HAWKEYE (2012) #5 from Matt Fraction, Javier Pulido, and David Aja! Someone has a deadly secret that will change the course of Hawkeye's relationship with the Avengers.",Matt Fraction,,Hawkeye: My Life as a Weapon Infinity Comic (2021 - 2022),Hawkeye: My Life as a Weapon Infinity Comic (2021) #5,2021-12-22T00:00:00-0500,0.0,
13,"The Infinity Comics edition of HAWKEYE (2012) #3 from Matt Fraction, David Aja, and Matt Hollingsworth! Clint Barton and Kate Bishop are double the Hawkeye—and double the trouble. But what is the Vagabond Code?",Matt Fraction,,Hawkeye: My Life as a Weapon Infinity Comic (2021 - 2022),Hawkeye: My Life as a Weapon Infinity Comic (2021) #3,2021-12-20T00:00:00-0500,0.0,
14,"The Infinity Comics edition of HAWKEYE (2012) #2 from Matt Fraction, David Aja, and Matt Hollingsworth! Kate Bishop. Cars. Guns. Stealing from the rich never looked so good.",Matt Fraction,,Hawkeye: My Life as a Weapon Infinity Comic (2021 - 2022),Hawkeye: My Life as a Weapon Infinity Comic (2021) #2,2021-12-13T00:00:00-0500,0.0,
