,description,writer,penciler,comic_name,issue_title,publish_date,Price,cover artist
0,,J.M. DeMatteis,Eder Messias,Spider-Man: The Lost Hunt (2022 - 2023),Spider-Man: The Lost Hunt (2022) #2,2022-12-21T00:00:00-0500,3.99,
1,,Christopher Priest,Paul Ryan,Spider-Man: The Wedding Album Gallery Edition (2022),Spider-Man: The Wedding Album Gallery Edition (Trade Paperback),2022-12-14T00:00:00-0500,44.99,
2,,J.M. DeMatteis,Eder Messias,Spider-Man: The Lost Hunt (2022 - 2023),Spider-Man: The Lost Hunt (2022) #2 (Variant),2022-12-07T00:00:00-0500,3.99,Brad Anderson
3,,Dan Slott,John Dell,Spider-Man (2022 - Present),Spider-Man (2022) #3,2022-12-07T00:00:00-0500,3.99,Edgar Delgado
4,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #3 (Variant),2022-12-07T00:00:00-0500,3.99,
5,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #2 (Variant),2022-11-09T00:00:00-0500,3.99,Romulo Fajardo Jr.
6,,J.M. DeMatteis,Eder Messias,Spider-Man: The Lost Hunt (2022 - 2023),Spider-Man: The Lost Hunt (2022) #1 (Variant),2022-11-09T00:00:00-0500,4.99,
7,,Dan Slott,John Dell,Spider-Man (2022 - Present),Spider-Man (2022) #2 (Variant),2022-11-09T00:00:00-0500,3.99,Edgar Delgado
8,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #2 (Variant),2022-11-09T00:00:00-0500,3.99,Edgar Delgado
9,,J.M. DeMatteis,Eder Messias,Spider-Man: The Lost Hunt (2022 - 2023),Spider-Man: The Lost Hunt (2022) #1,2022-11-09T00:00:00-0500,4.99,Ryan Brown
10,,Dan Slott,John Dell,Spider-Man (2022 - Present),Spider-Man (2022) #2,2022-11-09T00:00:00-0500,3.99,Alejandro Sanchez
11,,J.M. DeMatteis,Eder Messias,Spider-Man: The Lost Hunt (2022 - 2023),Spider-Man: The Lost Hunt (2022) #1 (Variant),2022-11-09T00:00:00-0500,4.99,Rachelle Rosenberg
12,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #2 (Variant),2022-11-09T00:00:00-0500,3.99,Ivan Shavrin
13,"Collects Spider-Man 2099: Exodus Alpha, Spider-Man 2099: Exodus #1-5 and Spider-Man 2099: Exodus Omega. A brave, new tomorrow begins for the world of 2099! After fighting battles across the timestream, Miguel O'Hara - Spider-Man of the year 2099 - is back home at last, defending his present…and our future! But the only constant about life in Nueva York is change. So when a cataclysmic crash creates a new Garden of Eden in the American Wastelands, Spider-Man knows exactly what the next atrocity will be. The deadly Cabal plans to set society ablaze, and you'll never guess who is leading them! Meanwhile, everyone's got something to gain from Paradise - including Winter Soldier 13! And as the Cabal preys upon society's dregs, Loki - last survivor of Ragnarok - schemes to resurrect Asgard! Featuring the X-Men, Moon Knight, Black Widow and New Avengers of the future!",Steve Orlando,Dave Wachter,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (Trade Paperback),2022-11-02T00:00:00-0400,19.99,
14,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,
15,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,
16,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,
17,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,
18,,Dan Slott,John Dell,Spider-Man (2022 - Present),Spider-Man (2022) #1,2022-10-05T00:00:00-0400,4.99,Alejandro Sanchez
19,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,Marte Gracia
20,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,
21,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,Alex Sinclair
22,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,
23,,Dan Slott,Mark Bagley,Spider-Man (2022 - Present),Spider-Man (2022) #1 (Variant),2022-10-05T00:00:00-0400,4.99,Federico Blee
24,,Stan Lee,John Romita Jr.,Spider-Man: Spider-Verse - Amazing Spider-Man (2022),Spider-Man: Spider-Verse - Amazing Spider-Man (Trade Paperback),2022-09-14T00:00:00-0400,9.99,
