,description,penciler,writer,cover artist,comic_name,issue_title,publish_date,Price
0,,Ed Mcguinness,Zeb Wells,Marcio Menyz,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #16,2022-12-28T00:00:00-0500,3.99
1,,Ed Mcguinness,Zeb Wells,Edgar Delgado,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #15 (Variant),2022-12-14T00:00:00-0500,3.99
2,,Cliff Rathburn,Zeb Wells,Marcio Menyz,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #15 (Variant),2022-12-14T00:00:00-0500,3.99
3,,Ed Mcguinness,Zeb Wells,Marcio Menyz,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #15,2022-12-14T00:00:00-0500,3.99
4,,Cliff Rathburn,Zeb Wells,Marcio Menyz,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #15 (Variant),2022-12-07T00:00:00-0500,3.99
5,,Vc Joe Caramagna,Zeb Wells,,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #14 (Variant),2022-11-23T00:00:00-0500,4.99
6,,Ryan Stegman,Zeb Wells,Marcio Menyz,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #14,2022-11-23T00:00:00-0500,4.99
7,,Ryan Stegman,Zeb Wells,,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #14 (Variant),2022-11-23T00:00:00-0500,4.99
8,,Vc Joe Caramagna,Zeb Wells,Marcio Menyz,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #14 (Variant),2022-11-23T00:00:00-0500,4.99
9,,John Romita Jr.,Zeb Wells,Frank Martin,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #13 (Variant),2022-11-09T00:00:00-0500,3.99
10,,Vc Joe Caramagna,Zeb Wells,Marcio Menyz,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #13,2022-11-09T00:00:00-0500,3.99
11,,John Romita Jr.,Zeb Wells,,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #13 (Variant),2022-11-09T00:00:00-0500,3.99
12,,John Romita Jr.,Zeb Wells,Romulo Fajardo Jr.,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #13 (Variant),2022-11-09T00:00:00-0500,3.99
13,,John Romita Jr.,Zeb Wells,,The Amazing Spider-Man (2022 - Present),The Amazing Spider-Man (2022) #12 (Variant),2022-10-26T00:00:00-0400,3.99
