,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
30687,Uncanny X-Men,Uncanny X-Men (1981) #46,"July 01, 1968",The Juggernaut does battle with the X-Men in an effort to avenge himself upon Charles Xavier. But how will Juggernaut react when he learns of Xavier's death?,"Don Heck, Werner Roth, George Tuska",Gary Friedrich,, Free
29869,Ultimate X-Men,Ultimate X-Men (2001) #26,"February 10, 2003","Travel back to the start of the schism between Charles Xavier and Erik Lensherr, the mutants known as Magneto and Professor X. Also, learn about the incident that crippled Xavier!",Mike Deodato,Bruce Jones,Adam Kubert, Free
29796,Ultimate X-Men,Ultimate X-Men (2001) #86,"September 12, 2007","SENTINELS PART 3 The men pulling the strings are finally revealed. Also in this issue, Cable reveals a dark secret to Charles Xavier.",Yanick Paquette,Robert Kirkman,Yanick Paquette, $2.99
30572,Uncanny X-Men,Uncanny X-Men (1981) #161,"September 01, 1982",Charles Xavier and Magneto are in WWII-era and must stop the Nazi Baron Strucker and the hordes of Hydra.,Dave Cockrum,Chris Claremont,, Free
8634,Excalibur,Excalibur (1988) #52,"July 01, 1992","Rachel Grey's mind is trapped in a coma, so Excalibur turns to the greatest master of the mind on Earth - Charles Xavier!",Will Simpson,Alan Davis,, Free
30766,Uncanny X-Men,Uncanny X-Men (2013) #23,"July 16, 2014",ORIGINAL SIN tie-in! Charles Xavier's last will and testament is discovered. But is something concealed within the pages that might be the X-Men's ultimate undoing?,Chris Bachalo,Brian Michael Bendis,, $3.99
30760,Uncanny X-Men,Uncanny X-Men (2013) #29,"December 24, 2014","Everything over the last several months has been leading to this-a turning point for the X-Men. And it all revolves around their deceased former mentor and leader, Professor Charles Xavier!",Chris Bachalo,Brian Michael Bendis,Chris Bachalo, $3.99
5228,Civil War: House of M,Civil War: House of M (2008) #3,"November 05, 2008","The untold story of Magneto's rise to power continues! The mutant army grows with the additions of Quicksilver, the Scarlet Witch, Polaris...and Charles Xavier?",,Christos Gage,, $2.99
5229,Civil War: House of M,Civil War: House of M (2008) #2,"October 01, 2008","The untold story of Magneto's rise to power continues! The mutant army grows with the additions of Quicksilver, the Scarlet Witch, Polaris...and Charles Xavier?",,Christos Gage,, $2.99
34444,X-Men: Children of the Atom,X-Men: Children of the Atom (1999) #1,"November 01, 1999",Charles Xavier begins to recruit mutants for his school for gifted youngers just as anti-mutant sentiment begins to rise!,,,, Free
