,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
0,Ultimate Marvel Team-Up,Ultimate Marvel Team-Up (2001) #8,"November 01, 2001",SPIDER-MAN & THE PUNISHER (& DAREDEVIL) PART 3 Spider-Man and Daredevil team up to take The Punisher down!,Bill Sienkiewicz,Brian Michael Bendis,, Free
1,Daredevil: End of Days,Daredevil: End of Days (2012) #6,"March 06, 2013","As Ben Urich looks for the secret behind Daredevil's death, some of Daredevil's greatest foes come looking for Ben! But before they can kill the intrepid investigator, they'll have to do battle with...Daredevil?! Some of the Man Without Fear's greatest creators come together to reveal the final Daredevil story!",Alex Maleev,"Brian Michael Bendis, David Mack",, $3.99
2,Man Without Fear,Man Without Fear (2019) #4,"January 23, 2019","Daredevil is gone, but Hell’s Kitchen is still a place of heroes and villains. The Kingpin will learn what it means to live in a world without a Daredevil. And without a Daredevil to protect it, has hell come for his city? Who is The Man Without Fear?!",Paolo Villanelli,Jed Mackay,Kyle Hotz, $3.99
3,Man Without Fear,Man Without Fear (2019) #2,"January 09, 2019","Daredevil is gone, but Hell's Kitchen is still a place of heroes and villains. The Defenders will learn what it means to live in a world without a Daredevil. And without a Daredevil to protect it, has hell come for his city? Who is The Man Without Fear?!",Stefano Landini,Jed Mackay,Kyle Hotz, $3.99
4,Man Without Fear,Man Without Fear (2019) #5,"January 30, 2019","Daredevil is gone, but Hell’s Kitchen is still a place of heroes and villains. A mysterious Guardian Devil will learn what it means to live in a world without a Daredevil. And without a Daredevil to protect it, has hell come for his city? Who is The Man Without Fear?!",Danilo S. Beyruth,Jed Mackay,Kyle Hotz, $3.99
5,Man Without Fear,Man Without Fear (2019) #3,"January 16, 2019","Daredevil is gone, but Hell’s Kitchen is still a place of heroes and villains. The many loves of Matt Murdock will all learn what it means to live in a world without a Daredevil. And without a Daredevil to protect it, has hell come for his city? Who is The Man Without Fear?!",Iban Coello,Jed Mackay,Kyle Hotz, $3.99
6,Man Without Fear,Man Without Fear (2019) #1,"January 02, 2019","Daredevil is gone, but Hell's Kitchen is still a place of heroes and villains. Foggy Nelson will learn what it means to live in a world without a Daredevil. And without a Daredevil to protect it, has hell come for his city? Who is The Man Without Fear?!",Danilo S. Beyruth,Jed Mackay,Kyle Hotz, $3.99
7,Daredevil,Daredevil (2011) #24,"March 20, 2013",Fateful news about someone close to Daredevil! Will Matt be forced to abandon his Daredevil identity?,Chris Samnee,Mark Waid,, $2.99
8,Daredevil,Daredevil (1964) #347,"December 01, 1995",Daredevil (Matt Murdock) takes on Daredevil (Sir)! A battle of the alter egos you just can’t miss!,Ron Wagner,J. M. DeMatteis,Ron Wagner, Free
9,Daredevil,Daredevil Vol. 10: The Widow (Trade Paperback),"November 17, 2004","You asked for it; you got it: Daredevil's fiery, redheaded ex-partner returns to Hell's Kitchen to help the new Kingpin keep the streets clean. But why is she really back? One of Marvel's greatest love stories takes an interesting turn, and all in the horrible face of...JIGSAW! Guest-starring Nick Fury and the Avengers! Collecting DAREDEVIL #61-66 - plus the very first meeting of Daredevil and the Black Widow, from 1971's DAREDEVIL #81!",,,,
10,Daredevil (2022 - Present),Daredevil (2022) #6 (Variant),2022-12-07,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
12,Daredevil (2022 - Present),Daredevil (2022) #6,2022-12-07,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
13,Daredevil (2022 - Present),Daredevil (2022) #5 (Variant),2022-11-23,,Marco Checchetto,Chip Zdarsky,nan,$3.99
15,Daredevil (2022 - Present),Daredevil (2022) #5,2022-11-23,,Vc Clayton Cowles,Chip Zdarsky,nan,$3.99
16,Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 3 (2022),Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 3 (Trade Paperback),2022-11-02,,Francesco Mobili,Chip Zdarsky,nan,$44.99
17,Daredevil Epic Collection: It Comes With The Claws (2022),Daredevil Epic Collection: It Comes With The Claws (Trade Paperback),2022-11-02,"Collects Daredevil (1964) #234-252. Daredevil takes on all comers! The Man Without Fear faces the maniac without pain: the irrepressible Madcap! But that's just a warmup for DD's rematch with one of his most powerful foes: Mister Hyde! And the hits just keep coming as Klaw, Master of Sound, makes some noise, Chance tries his luck and the savage Sabretooth crosses Daredevil's path right in the middle of the Mutant Massacre! Plus: DD's old flame, the Black Widow, returns - but will Matt seize a second chance at life with Karen Page instead? Meanwhile, Hell's Kitchen has more than its fair share of crime to fight - but why is Daredevil trading blows with Black Panther and Wolverine? And can a billy club stand up to adamantium claws?",Keith Pollard,Ann Nocenti,nan,$44.99
18,Daredevil (2022 - Present),Daredevil (2022) #4 (Variant),2022-10-12,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
19,Daredevil (2022 - Present),Daredevil (2022) #4,2022-10-12,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
20,Daredevil (2022 - Present),Daredevil (2022) #3,2022-09-14,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
21,Daredevil (2022 - Present),Daredevil (2022) #2 (Variant),2022-08-17,,Marco Checchetto,Chip Zdarsky,nan,$5.99
24,Daredevil (2022 - Present),Daredevil (2022) #2,2022-08-17,,John Romita Jr.,Chip Zdarsky,nan,$5.99
25,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (Trade Paperback),2022-07-27,,Rafael De Latorre,Chip Zdarsky,nan,$15.99
26,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,nan,$4.99
34,Daredevil (2022 - Present),Daredevil (2022) #1,2022-07-13,,Rafael De Latorre,Chip Zdarsky,nan,$4.99
35,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Rafael De Latorre,Chip Zdarsky,nan,$4.99
36,Daredevil By Brubaker & Lark Omnibus Vol. 1 (2022),Daredevil By Brubaker & Lark Omnibus Vol. 1 (Trade Paperback),2022-06-08,,John Romita Sr.,Ed Brubaker,nan,$100
37,Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 2 (2021),Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 2 (Trade Paperback),2022-03-23,,Francesco Mobili,Chip Zdarsky,nan,$39.99
38,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #3,2022-03-02,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
