,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
0,X-23,X-23 (2005) #2,"January 26, 2005",How is X-23 connected to Wolverine? Find out here!,Billy Tan,Craig Kyle,Billy Tan, $2.99
1,Ultimate Marvel Flip Magazine,Ultimate Marvel Flip Magazine (2005) #23,"March 07, 2007","ULTIMATE FANTASTIC FOUR #23
ULTIMATE X-MEN #23
64 PGS./All Ages ...$4.99",,,, $4.99
2,X-23,X-23 (2005) #1,"January 12, 2005","X-23 in her own series! Now it can be told. The full story behind the origin of X-23 - who she is, where she came from, and the exact nature of her relationship to Wolverine. You think you know, but you have no idea.",,,, $2.99
3,New X-Men,New X-Men (2004) #34,"January 10, 2007","""MERCURY RISING""
The Facility turned X-23's childhood into a blood-stained nightmare and now they're gunning for the New X-Men. How far will the team go to save one of their teammates, and once they've crossed over into X-23's violent world, is there any coming back? The kids will never look at X-23 the same again as the fallout from X-23: TARGET X continues here. Part 2 (of 4)!
32 PGS./Rated T+ ...$2.99",Paco Medina,"Craig Kyle, Christopher Yost",Paco Medina, $2.99
4,X-23: Target X,X-23: Target X (Trade Paperback),"August 22, 2007","Because you demanded it! Superstar Top Cow artist Mike Choi joins the team as X-23 returns! Having escaped the Facility that created her, X-23 struggles to create a real life for herself. But when your entire life has been about death and destruction, can you ever really escape the darkness? The rest of the story begins here, and won't end until X-23 faces off with the one man most responsible for her life: Wolverine! Collecting X-23: TARGET X #1-6.

144 PGS./Parental Advisory ...$15.99",,,,
5,X-23: Target X,X-23: Target X (2006) #3,"February 07, 2007","X-23's bloody past continues to unfold, and the man called Wolverine is haunting her every step of the way! What is Trigger Scent, and what are the Facility's plans to re-capture X-23? And what does the Kingpin of Crime have to do with it? Captain America and Daredevil are along for the ride as X-23 digs her claws deeper into the Marvel Universe, and not everyone is going to make it out alive.",Mike Choi,"Christopher Yost, Craig Kyle",Mike Choi, $2.99
6,New X-Men,New X-Men (2004) #33,"December 13, 2006","""MERCURY FALLING"" Part 1 (OF 4)
New Arc! X-23's past returns to haunt the New X-Men. Sure, the team needs a break after the horror and insanity of the last year, but TOO BAD! When Wolverine brought X-23 back into the Institute, only Emma Frost tried to stop it. Here and now, you'll find out why she was RIGHT. The fallout from X-23: TARGET X begins here!
32 PGS./Rated T+ ...$2.99",Paco Medina,"Christopher Yost, Craig Kyle",Paco Medina, $2.99
7,X-23,X-23: Innocence Lost (Trade Paperback),"April 12, 2006","Now it can be told. The full story behind the origin of X-23 - who she is, where she came from and the exact nature of her relationship to Wolverine. You think you know, but you have no idea! Collects X-23 #1-6.
144 PGS./Parental Advisory ...$15.99",,,,
8,New X-Men,New X-Men: Childhood's End Vol. 4 (Trade Paperback),"May 30, 2007","X-23's past returns to haunt the New X-Men. Sure, the team needs a break after the horror and insanity of the last year, but too bad! When Wolverine brought X-23 back into the Institute, only Emma Frost tried to stop it. Here and now, you'll find out why she was right! The fallout from X-23: Target X begins here! Collecting NEW X-MEN #33-36.
96 PGS./Rated T+ ...$10.99",,,,
9,X-23,X-23 (2005) #4,"March 30, 2005","X-23's true origin continues. X-23 has committed hundreds of assassinations, but now the one person who swore they would never treat X-23 like a weapon will send her on a personal mission. All the answers are here as events race to a dizzying close.",Billy Tan,Craig Kyle,Billy Tan, $2.99
10,X-23 Vol. 2: X-Assassin (2019),X-23 Vol. 2: X-Assassin (Trade Paperback),2019-07-31,,Diego Olortegui,Mariko Tamaki,nan,$17.99
11,X-23 (2018 - 2019),X-23 (2018) #12,2019-05-29,,Diego Olortegui,Mariko Tamaki,nan,$3.99
12,X-23 (2018 - 2019),X-23 (2018) #11,2019-04-10,"X-23 vs. Honey Badger! But what could drive a wedge between these two sisters? Meanwhile, X-23 digs deeper into the shadows of a secret new organization, HARVEST!",Diego Olortegui,Mariko Tamaki,nan,$3.99
13,X-23 (2018 - 2019),X-23 (2018) #10,2019-03-13,The mystery behind X-Assassin revealed! What will Laura and Gabby do when they come face-to-face with an army of genetically altered assassins? Gabby’s life will forever change after this!,Diego Olortegui,Mariko Tamaki,nan,$3.99
14,X-23 (2018 - 2019),X-23 (2018) #9,2019-02-06,,Diego Olortegui,Mariko Tamaki,nan,$3.99
15,X-23 (2018 - 2019),X-23 (2018) #8,2019-01-09,,Diego Olortegui,Mariko Tamaki,nan,$3.99
16,X-23 Vol. 1: Family Album (2019),X-23 Vol. 1: Family Album (Trade Paperback),2019-01-09,,,,nan,$17.99
17,New X-Men Companion (2019),New X-Men Companion (Trade Paperback),2019-07-10,,Kevin Maguire,Steven Grant,nan,$39.99
18,New X-Men: The Quest For Magik - The Complete Collection (2019),New X-Men: The Quest For Magik - The Complete Collection (Trade Paperback),2019-06-19,,Skottie Young,Craig Kyle,nan,$39.99
19,New X-Men: Childhood's End - The Complete Collection (2019),New X-Men: Childhood's End - The Complete Collection (Trade Paperback),2019-01-30,"Collects New X-Men (2004) #16-32. A bold new direction for the Xavier Institute! In the mutant-controlled “House of M” reality, the New Mutants clash with S.H.I.E.L.D.’s Hellions over the fate of the human resistance. But when the real world is restored, almost all of Earth’s mutants find themselves depowered! With their species all but gone and emboldened enemies looming on all sides, the remaining New X-Men close ranks and form a new squad — but what about their suddenly human friends and classmates? And what happens when X-23 arrives at the mansion? The rules have changed, the safeties are off — and Reverend Stryker has found a terrifying new weapon in his holy crusade against mutants! The New X-Men will be battered, beaten and worse, and suffer assaults on all fronts. Can this untested new team summon the strength to survive and triumph?",Duncan Rouleau,Christopher Yost,nan,$39.99
